YEAR,MO,DY,WS50M,WS10M
2015,1,1,7.76,4.28
2015,1,2,4.25,2.36
2015,1,3,6.49,3.29
2015,1,4,8.62,4.6
2015,1,5,7.44,4.5
2015,1,6,4.41,2.61
2015,1,7,8.09,4.88
2015,1,8,6.79,4.11
2015,1,9,8.52,5.01
2015,1,10,5.27,2.91
2015,1,11,4.93,2.49
2015,1,12,4.2,2.12
2015,1,13,4.73,2.68
2015,1,14,3.03,1.67
2015,1,15,4.48,2.34
2015,1,16,6.4,3.45
2015,1,17,5.8,2.89
2015,1,18,6.62,3.38
2015,1,19,4.74,2.57
2015,1,20,1.74,1.04
2015,1,21,3.45,1.83
2015,1,22,3.98,2.14
2015,1,23,1.38,0.94
2015,1,24,4.7,2.69
2015,1,25,3.7,2.04
2015,1,26,3.96,2.42
2015,1,27,4.93,2.81
2015,1,28,3.27,2.05
2015,1,29,5.68,3.16
2015,1,30,7.21,4.24
2015,1,31,4.22,2.34
2015,2,1,4.16,2.23
2015,2,2,6.91,3.88
2015,2,3,5.18,2.8
2015,2,4,5.73,2.66
2015,2,5,5.64,3.41
2015,2,6,5.8,3.24
2015,2,7,5.97,2.65
2015,2,8,6.82,3.04
2015,2,9,4.27,2.62
2015,2,10,4.14,2.58
2015,2,11,3.83,2.06
2015,2,12,7.19,4.45
2015,2,13,4.79,2.86
2015,2,14,8.24,5.05
2015,2,15,7.61,4.84
2015,2,16,2.41,1.59
2015,2,17,3.76,2.16
2015,2,18,6.05,3.62
2015,2,19,7.33,4.55
2015,2,20,4.11,2.45
2015,2,21,5.02,2.73
2015,2,22,3.69,1.98
2015,2,23,4.88,3.09
2015,2,24,5.05,2.84
2015,2,25,5.49,3.08
2015,2,26,4.17,2.56
2015,2,27,3.7,2.23
2015,2,28,2.44,1.35
2015,3,1,4,1.97
2015,3,2,5.3,2.99
2015,3,3,5.8,3.04
2015,3,4,4.3,2.01
2015,3,5,4.95,2.81
2015,3,6,3.23,1.93
2015,3,7,6.3,3.34
2015,3,8,5.86,2.79
2015,3,9,3.8,1.98
2015,3,10,3.71,1.71
2015,3,11,4,1.93
2015,3,12,4.29,2.07
2015,3,13,5.4,2.55
2015,3,14,5.23,2.51
2015,3,15,5.91,3.39
2015,3,16,5.56,2.59
2015,3,17,7.34,4.01
2015,3,18,5.47,2.73
2015,3,19,3.47,1.59
2015,3,20,2.9,1.48
2015,3,21,5.66,2.88
2015,3,22,4.48,2.32
2015,3,23,2.94,1.44
2015,3,24,3.49,1.66
2015,3,25,5.95,3.06
2015,3,26,3.79,2.16
2015,3,27,4.63,2.83
2015,3,28,5.56,3.3
2015,3,29,4.51,2.2
2015,3,30,7.06,3.6
2015,3,31,5.92,2.92
2015,4,1,3.36,1.72
2015,4,2,7.36,3.61
2015,4,3,3.69,1.91
2015,4,4,6.45,3.49
2015,4,5,6.5,3.09
2015,4,6,4.47,2.07
2015,4,7,2.63,1.27
2015,4,8,4.76,2.27
2015,4,9,5.46,2.71
2015,4,10,7.74,3.94
2015,4,11,5.11,2.84
2015,4,12,3.39,1.84
2015,4,13,6.52,3.15
2015,4,14,4.44,1.8
2015,4,15,4.45,1.92
2015,4,16,5.66,2.66
2015,4,17,4.01,1.92
2015,4,18,3.77,1.88
2015,4,19,7.45,3.84
2015,4,20,6.77,3.45
2015,4,21,7.11,3.54
2015,4,22,5.24,2.65
2015,4,23,6.3,3.28
2015,4,24,5.7,2.66
2015,4,25,2.02,1
2015,4,26,4.21,2.05
2015,4,27,4.73,2.34
2015,4,28,3.66,1.78
2015,4,29,2.43,1.17
2015,4,30,2.59,1.23
2015,5,1,4.19,1.98
2015,5,2,3.01,1.59
2015,5,3,4.3,1.84
2015,5,4,5.45,2.17
2015,5,5,2.31,1.12
2015,5,6,2,1.17
2015,5,7,1.93,1.04
2015,5,8,3.62,1.69
2015,5,9,4.53,2.04
2015,5,10,4.19,1.95
2015,5,11,4.59,2.15
2015,5,12,6.9,3.45
2015,5,13,4.59,2.33
2015,5,14,2.98,1.39
2015,5,15,4.01,1.74
2015,5,16,4.09,1.87
2015,5,17,3.64,1.57
2015,5,18,3.83,1.76
2015,5,19,5.07,2.46
2015,5,20,3.55,1.84
2015,5,21,2.73,1.22
2015,5,22,5.26,2.66
2015,5,23,2.62,1.47
2015,5,24,4,1.65
2015,5,25,5.22,2.34
2015,5,26,4.56,2
2015,5,27,4.56,2.02
2015,5,28,2.95,1.49
2015,5,29,4.7,2.11
2015,5,30,4.47,2.15
2015,5,31,4.05,1.92
2015,6,1,2.54,1.45
2015,6,2,3.01,1.47
2015,6,3,3.97,1.84
2015,6,4,3.5,1.6
2015,6,5,2.49,1.11
2015,6,6,3.8,1.8
2015,6,7,5.39,2.49
2015,6,8,5.8,2.7
2015,6,9,4.88,2.38
2015,6,10,5,2.21
2015,6,11,4.23,1.86
2015,6,12,4.59,2.04
2015,6,13,3.32,1.52
2015,6,14,3.77,1.62
2015,6,15,4.18,1.88
2015,6,16,4.88,2.17
2015,6,17,2.7,1.17
2015,6,18,4.61,1.99
2015,6,19,3.15,1.57
2015,6,20,3.01,1.44
2015,6,21,3.91,1.7
2015,6,22,3.73,1.58
2015,6,23,5.59,2.49
2015,6,24,2.14,1.11
2015,6,25,2.22,1.12
2015,6,26,2.53,1.17
2015,6,27,5.12,2.52
2015,6,28,5.9,2.91
2015,6,29,3.16,1.34
2015,6,30,4.17,1.91
2015,7,1,4.02,1.99
2015,7,2,2.23,1.12
2015,7,3,3.07,1.28
2015,7,4,3.27,1.64
2015,7,5,3.22,1.25
2015,7,6,2.46,1.08
2015,7,7,4.71,2.16
2015,7,8,2.83,1.3
2015,7,9,4.98,2.31
2015,7,10,2.27,1.13
2015,7,11,2.06,0.99
2015,7,12,2.41,1.17
2015,7,13,3.47,1.54
2015,7,14,3.83,1.78
2015,7,15,4.41,2.12
2015,7,16,2.89,1.34
2015,7,17,4.52,1.83
2015,7,18,4.18,1.76
2015,7,19,3.71,1.48
2015,7,20,3.2,1.47
2015,7,21,3.52,1.73
2015,7,22,3.64,1.77
2015,7,23,2.07,1.12
2015,7,24,1.99,1.11
2015,7,25,2,1.03
2015,7,26,2.59,1.2
2015,7,27,2.22,1.05
2015,7,28,3.01,1.25
2015,7,29,2.32,0.95
2015,7,30,4.47,1.89
2015,7,31,4.61,1.83
2015,8,1,4.2,1.87
2015,8,2,4.3,1.83
2015,8,3,4.52,1.98
2015,8,4,3.8,1.69
2015,8,5,4.03,1.91
2015,8,6,2.68,1.11
2015,8,7,3.09,1.37
2015,8,8,2.13,0.91
2015,8,9,1.98,0.99
2015,8,10,4.04,1.9
2015,8,11,4.38,2.02
2015,8,12,4.44,2
2015,8,13,2.37,1.06
2015,8,14,3.23,1.58
2015,8,15,2.27,1.09
2015,8,16,2.61,1.35
2015,8,17,2.2,1.07
2015,8,18,2.56,1.08
2015,8,19,4.12,1.78
2015,8,20,5.12,2.3
2015,8,21,3.29,1.42
2015,8,22,2.68,1.22
2015,8,23,3.14,1.37
2015,8,24,4.25,1.73
2015,8,25,3.82,1.77
2015,8,26,3.09,1.38
2015,8,27,1.76,1.09
2015,8,28,1.73,0.95
2015,8,29,3.44,1.4
2015,8,30,3.38,1.33
2015,8,31,2.62,1.23
2015,9,1,1.62,1.02
2015,9,2,2.24,1.08
2015,9,3,2.37,1.08
2015,9,4,1.75,0.81
2015,9,5,3.22,1.36
2015,9,6,2.57,1.27
2015,9,7,2.92,1.38
2015,9,8,3.38,1.61
2015,9,9,3.88,1.7
2015,9,10,3.13,1.72
2015,9,11,2.21,1.18
2015,9,12,3.29,1.75
2015,9,13,4.95,2.36
2015,9,14,4.05,2.02
2015,9,15,2.09,1.23
2015,9,16,2.19,1.18
2015,9,17,1.44,0.83
2015,9,18,3.78,1.8
2015,9,19,4.96,2.3
2015,9,20,4.17,1.87
2015,9,21,3.76,1.77
2015,9,22,2.72,1.26
2015,9,23,3.44,1.44
2015,9,24,4.3,1.72
2015,9,25,4.57,1.84
2015,9,26,4.84,2.15
2015,9,27,4.12,2.02
2015,9,28,3.7,1.62
2015,9,29,3.49,1.52
2015,9,30,4.86,2.56
2015,10,1,4.69,2.42
2015,10,2,5.48,2.87
2015,10,3,5.66,2.98
2015,10,4,4.47,2.19
2015,10,5,3.23,1.59
2015,10,6,2.93,1.23
2015,10,7,3.41,1.47
2015,10,8,3.52,1.54
2015,10,9,4.86,2.27
2015,10,10,2.15,1.11
2015,10,11,4.25,1.84
2015,10,12,5.18,2.13
2015,10,13,5.31,2.55
2015,10,14,4.06,1.92
2015,10,15,3.77,1.81
2015,10,16,4.21,2.05
2015,10,17,4.49,2.25
2015,10,18,4.54,2.13
2015,10,19,4.27,2.03
2015,10,20,5.32,2.26
2015,10,21,4.55,1.77
2015,10,22,4.59,2
2015,10,23,3.59,1.59
2015,10,24,4.96,2.45
2015,10,25,4.68,2.14
2015,10,26,3.86,1.63
2015,10,27,4.89,2.37
2015,10,28,7.76,3.82
2015,10,29,6.66,3.18
2015,10,30,3.4,1.66
2015,10,31,3.71,1.73
2015,11,1,5.78,2.66
2015,11,2,2.45,1.27
2015,11,3,3.05,1.4
2015,11,4,3.8,1.59
2015,11,5,4.55,1.78
2015,11,6,6.08,2.75
2015,11,7,4.59,2.03
2015,11,8,2.16,1.03
2015,11,9,3.88,1.73
2015,11,10,3.68,1.84
2015,11,11,3.39,1.73
2015,11,12,7.45,3.83
2015,11,13,8.68,4.52
2015,11,14,5.78,2.75
2015,11,15,5.16,2.25
2015,11,16,2.69,1.2
2015,11,17,5.87,2.7
2015,11,18,7.5,3.88
2015,11,19,6.46,3.13
2015,11,20,4.73,2.25
2015,11,21,5.97,2.95
2015,11,22,4.92,2.55
2015,11,23,3.67,1.6
2015,11,24,3.51,1.62
2015,11,25,4.8,2.1
2015,11,26,5.81,2.55
2015,11,27,4.91,2.2
2015,11,28,2.68,1.31
2015,11,29,3.11,1.68
2015,11,30,4.38,2.41
2015,12,1,4.21,2.02
2015,12,2,3.66,1.66
2015,12,3,5.3,2.75
2015,12,4,3.87,2.02
2015,12,5,1.65,1.11
2015,12,6,3.32,1.62
2015,12,7,2.27,1.28
2015,12,8,3.36,1.55
2015,12,9,4.52,2.27
2015,12,10,4.24,1.91
2015,12,11,5.22,2.38
2015,12,12,5.23,2.31
2015,12,13,4.41,1.77
2015,12,14,6.8,3.31
2015,12,15,5.75,2.92
2015,12,16,3.91,2.02
2015,12,17,4.59,2.24
2015,12,18,4.98,2.67
2015,12,19,6.41,3.47
2015,12,20,4.12,1.9
2015,12,21,6.09,2.85
2015,12,22,5.6,2.7
2015,12,23,5.82,2.88
2015,12,24,4.83,2.53
2015,12,25,3.73,1.62
2015,12,26,5.02,2.73
2015,12,27,7.04,3.88
2015,12,28,6.9,4.06
2015,12,29,6.69,3.41
2015,12,30,2.78,1.45
2015,12,31,4.23,2.19
2016,1,1,6.06,3.38
2016,1,2,5.47,2.91
2016,1,3,5.2,2.84
2016,1,4,5.79,3.49
2016,1,5,2.23,1.11
2016,1,6,3.72,1.84
2016,1,7,2.79,1.45
2016,1,8,4.08,2.03
2016,1,9,5.48,2.52
2016,1,10,8.45,4.74
