-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2015 through 03/31/2021 
Location: Latitude  29.3013   Longitude 94.7977 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 3541.36 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS10M     MERRA-2 Wind Speed at 10 Meters (m/s) 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,HR,WS10M,WS50M
2015,1,1,6,1.01,1.35
2015,1,1,7,1.24,1.22
2015,1,1,8,0.23,0.19
2015,1,1,9,1.31,1.28
2015,1,1,10,2.35,2.11
2015,1,1,11,2.89,2.52
2015,1,1,12,3.09,2.61
2015,1,1,13,3.35,2.79
2015,1,1,14,3.43,2.91
2015,1,1,15,2.99,2.69
2015,1,1,16,1.61,1.85
2015,1,1,17,1.02,1.11
2015,1,1,18,0.54,0.6
2015,1,1,19,0.31,0.38
2015,1,1,20,0.34,0.43
2015,1,1,21,0.42,0.54
2015,1,1,22,0.35,0.49
2015,1,1,23,0.45,0.6
2015,1,2,0,0.34,0.52
2015,1,2,1,0.2,0.32
2015,1,2,2,0.27,0.42
2015,1,2,3,0.47,0.68
2015,1,2,4,0.59,0.93
2015,1,2,5,0.69,1.08
2015,1,2,6,0.78,1.11
2015,1,2,7,1.05,1.05
2015,1,2,8,0.76,0.76
2015,1,2,9,0.9,0.77
2015,1,2,10,1.41,1.12
2015,1,2,11,1.92,1.51
2015,1,2,12,2.34,1.83
2015,1,2,13,2.71,2.18
2015,1,2,14,2.91,2.45
2015,1,2,15,2.48,2.36
2015,1,2,16,1.6,1.77
2015,1,2,17,1.41,1.51
2015,1,2,18,1.11,1.23
2015,1,2,19,0.88,1.04
2015,1,2,20,0.75,0.89
2015,1,2,21,0.5,0.61
2015,1,2,22,0.38,0.5
2015,1,2,23,0.35,0.49
2015,1,3,0,0.28,0.39
2015,1,3,1,0.16,0.22
2015,1,3,2,0.14,0.13
2015,1,3,3,0.22,0.19
2015,1,3,4,0.25,0.23
2015,1,3,5,0.25,0.21
2015,1,3,6,0.29,0.26
2015,1,3,7,0.29,0.35
2015,1,3,8,1.38,1.34
2015,1,3,9,2.28,2.04
2015,1,3,10,2.93,2.55
2015,1,3,11,3.43,2.95
2015,1,3,12,3.76,3.2
2015,1,3,13,3.89,3.29
2015,1,3,14,3.9,3.31
2015,1,3,15,3.48,3.08
2015,1,3,16,1.93,2.15
2015,1,3,17,1.56,1.75
2015,1,3,18,1.56,1.88
2015,1,3,19,1.58,2.0
2015,1,3,20,1.55,1.96
2015,1,3,21,1.4,1.71
2015,1,3,22,1.3,1.58
2015,1,3,23,1.31,1.63
2015,1,4,0,1.27,1.53
2015,1,4,1,1.22,1.47
2015,1,4,2,1.16,1.42
2015,1,4,3,1.16,1.41
2015,1,4,4,1.21,1.49
2015,1,4,5,1.27,1.6
2015,1,4,6,1.24,1.63
2015,1,4,7,1.8,1.72
2015,1,4,8,2.8,2.61
2015,1,4,9,3.71,3.47
2015,1,4,10,4.33,4.06
2015,1,4,11,4.92,4.65
2015,1,4,12,5.4,5.05
2015,1,4,13,5.28,4.95
2015,1,4,14,4.65,4.33
2015,1,4,15,3.49,3.17
2015,1,4,16,1.89,2.34
2015,1,4,17,1.87,2.46
2015,1,4,18,2.22,3.2
2015,1,4,19,2.8,3.73
2015,1,4,20,3.17,4.5
2015,1,4,21,4.42,5.88
2015,1,4,22,4.85,6.33
2015,1,4,23,4.61,6.08
2015,1,5,0,3.86,5.45
2015,1,5,1,3.28,4.67
2015,1,5,2,3.04,4.47
2015,1,5,3,3.19,4.25
2015,1,5,4,3.48,4.33
2015,1,5,5,3.37,4.0
2015,1,5,6,3.72,4.16
2015,1,5,7,3.82,3.78
2015,1,5,8,4.51,4.46
2015,1,5,9,5.07,5.13
2015,1,5,10,5.41,5.54
2015,1,5,11,5.24,5.36
2015,1,5,12,4.58,4.64
2015,1,5,13,3.86,3.89
2015,1,5,14,3.23,3.27
2015,1,5,15,2.54,2.54
2015,1,5,16,1.4,1.71
2015,1,5,17,1.02,1.4
2015,1,5,18,0.93,1.25
2015,1,5,19,0.93,1.17
2015,1,5,20,1.14,1.48
2015,1,5,21,1.48,1.89
2015,1,5,22,1.61,2.05
2015,1,5,23,1.62,2.02
2015,1,6,0,1.59,1.9
2015,1,6,1,1.45,1.69
2015,1,6,2,1.26,1.42
2015,1,6,3,1.13,1.22
2015,1,6,4,1.12,1.2
2015,1,6,5,1.16,1.26
2015,1,6,6,1.25,1.34
2015,1,6,7,1.18,1.39
2015,1,6,8,1.32,1.45
2015,1,6,9,1.13,1.55
2015,1,6,10,0.83,1.32
2015,1,6,11,0.67,1.02
2015,1,6,12,1.28,1.21
2015,1,6,13,2.16,1.93
2015,1,6,14,2.74,2.61
2015,1,6,15,2.12,2.54
2015,1,6,16,1.49,1.98
2015,1,6,17,1.18,1.5
2015,1,6,18,1.04,1.4
2015,1,6,19,0.82,1.16
2015,1,6,20,0.77,0.83
2015,1,6,21,0.89,0.98
2015,1,6,22,1.17,1.26
2015,1,6,23,1.45,1.53
2015,1,7,0,1.55,1.6
2015,1,7,1,1.4,1.43
2015,1,7,2,0.96,1.01
2015,1,7,3,0.52,0.65
2015,1,7,4,0.31,0.49
2015,1,7,5,0.31,0.49
2015,1,7,6,0.33,0.51
2015,1,7,7,0.54,0.63
2015,1,7,8,1.99,2.11
2015,1,7,9,3.18,3.06
2015,1,7,10,3.93,3.75
2015,1,7,11,4.59,4.37
2015,1,7,12,5.15,4.91
2015,1,7,13,5.37,5.1
2015,1,7,14,5.23,5.01
2015,1,7,15,4.52,4.29
2015,1,7,16,3.36,3.09
2015,1,7,17,2.87,2.67
2015,1,7,18,2.87,2.68
2015,1,7,19,2.84,2.69
2015,1,7,20,2.69,2.79
2015,1,7,21,2.19,2.8
2015,1,7,22,1.98,2.92
2015,1,7,23,2.02,3.06
2015,1,8,0,2.12,3.21
2015,1,8,1,2.25,3.42
2015,1,8,2,2.53,3.69
2015,1,8,3,2.51,3.21
2015,1,8,4,2.12,3.15
2015,1,8,5,1.93,2.89
2015,1,8,6,1.8,2.6
2015,1,8,7,2.29,2.46
2015,1,8,8,3.29,3.35
2015,1,8,9,4.74,4.9
2015,1,8,10,5.63,5.7
2015,1,8,11,5.91,5.87
2015,1,8,12,5.87,5.78
2015,1,8,13,5.67,5.55
2015,1,8,14,5.14,5.0
2015,1,8,15,4.13,3.99
2015,1,8,16,3.1,2.99
2015,1,8,17,2.25,2.17
2015,1,8,18,1.3,1.59
2015,1,8,19,1.09,1.3
2015,1,8,20,0.96,1.14
2015,1,8,21,0.7,0.89
2015,1,8,22,0.75,0.9
2015,1,8,23,0.86,0.99
2015,1,9,0,1.01,1.16
2015,1,9,1,1.05,1.22
2015,1,9,2,0.94,1.09
2015,1,9,3,1.07,1.26
2015,1,9,4,1.32,1.61
2015,1,9,5,1.42,1.79
2015,1,9,6,1.46,1.86
2015,1,9,7,1.98,2.0
2015,1,9,8,2.63,2.62
2015,1,9,9,2.74,2.85
2015,1,9,10,2.57,2.78
2015,1,9,11,2.33,2.59
2015,1,9,12,2.27,2.57
2015,1,9,13,2.24,2.57
2015,1,9,14,2.03,2.37
2015,1,9,15,1.56,1.81
2015,1,9,16,0.7,0.99
2015,1,9,17,0.61,0.77
2015,1,9,18,0.56,0.73
2015,1,9,19,0.5,0.65
2015,1,9,20,0.46,0.58
2015,1,9,21,0.48,0.57
2015,1,9,22,0.58,0.68
2015,1,9,23,0.76,0.88
2015,1,10,0,1.13,1.26
2015,1,10,1,1.71,1.79
2015,1,10,2,1.98,2.03
2015,1,10,3,1.9,1.95
2015,1,10,4,1.85,1.94
2015,1,10,5,2.01,2.11
2015,1,10,6,2.18,2.3
2015,1,10,7,2.13,2.51
2015,1,10,8,3.46,3.54
2015,1,10,9,3.67,3.71
2015,1,10,10,3.56,3.64
2015,1,10,11,3.36,3.5
2015,1,10,12,3.19,3.37
2015,1,10,13,3.06,3.27
2015,1,10,14,2.88,3.12
2015,1,10,15,2.47,2.69
2015,1,10,16,1.31,1.77
2015,1,10,17,1.24,1.58
2015,1,10,18,1.4,1.77
2015,1,10,19,1.66,2.11
2015,1,10,20,1.99,2.52
2015,1,10,21,2.2,2.69
2015,1,10,22,2.16,2.56
2015,1,10,23,2.01,2.27
2015,1,11,0,1.87,2.06
2015,1,11,1,1.81,1.93
2015,1,11,2,1.83,1.92
2015,1,11,3,1.92,1.97
2015,1,11,4,2.0,2.04
2015,1,11,5,2.09,2.12
2015,1,11,6,2.13,2.17
2015,1,11,7,1.91,2.17
2015,1,11,8,2.7,2.84
2015,1,11,9,3.25,3.57
2015,1,11,10,3.3,3.71
