YEAR,MO,DY,HR,WS10M,WS50M
2020,12,31,17,7.65,10.42
2020,12,31,18,7.78,10.42
2020,12,31,19,7.54,9.96
2020,12,31,20,6.71,9.05
2020,12,31,21,5.71,8.03
2020,12,31,22,4.67,7.07
2020,12,31,23,3.83,6.39
2021,1,1,0,3.55,6.24
2021,1,1,1,3.54,6.34
2021,1,1,2,3.5,6.41
2021,1,1,3,3.57,6.58
2021,1,1,4,3.66,6.72
2021,1,1,5,3.48,6.54
2021,1,1,6,3.61,6.02
2021,1,1,7,4.28,5
2021,1,1,8,4.5,5.2
2021,1,1,9,4.46,5.04
2021,1,1,10,4.19,4.65
2021,1,1,11,3.73,4.11
2021,1,1,12,3.26,3.55
2021,1,1,13,2.83,3.08
2021,1,1,14,2.46,2.7
2021,1,1,15,2.28,2.56
2021,1,1,16,1.81,2.72
2021,1,1,17,2.12,3.19
2021,1,1,18,2.49,3.94
2021,1,1,19,2.83,4.72
2021,1,1,20,3.05,5.38
2021,1,1,21,3.2,6.01
2021,1,1,22,3.38,6.68
2021,1,1,23,4.07,7.47
2021,1,2,0,5.03,7.75
2021,1,2,1,5.67,8.1
2021,1,2,2,5.93,8.36
2021,1,2,3,6.1,8.58
2021,1,2,4,6.39,8.97
2021,1,2,5,6.24,8.67
2021,1,2,6,6,8.07
2021,1,2,7,5.97,6.85
2021,1,2,8,6.13,7.14
2021,1,2,9,6.06,6.86
2021,1,2,10,5.96,6.73
2021,1,2,11,5.96,6.75
2021,1,2,12,5.79,6.61
2021,1,2,13,5.35,6.17
2021,1,2,14,4.67,5.44
2021,1,2,15,3.85,4.71
2021,1,2,16,2.46,4.06
2021,1,2,17,2.63,4.07
2021,1,2,18,2.77,4.33
2021,1,2,19,2.94,4.71
2021,1,2,20,3.11,5.08
2021,1,2,21,2.81,4.35
2021,1,2,22,2.28,3.31
2021,1,2,23,2.11,3
2021,1,3,0,2.07,2.94
2021,1,3,1,1.69,2.32
2021,1,3,2,1.2,1.62
2021,1,3,3,0.97,1.26
2021,1,3,4,0.81,1.03
2021,1,3,5,0.85,1.07
2021,1,3,6,0.84,1.06
2021,1,3,7,0.8,0.87
2021,1,3,8,0.51,0.46
2021,1,3,9,2.07,2.53
2021,1,3,10,2.67,3.11
2021,1,3,11,3.19,3.7
2021,1,3,12,3.62,4.23
2021,1,3,13,3.74,4.42
2021,1,3,14,3.73,4.42
2021,1,3,15,3.48,4.32
2021,1,3,16,2.72,5.1
2021,1,3,17,3.32,6.65
2021,1,3,18,3.85,7.77
2021,1,3,19,4.11,8.08
2021,1,3,20,3.83,7.69
2021,1,3,21,3.56,7.11
2021,1,3,22,3.49,6.79
2021,1,3,23,3.44,6.48
2021,1,4,0,3.39,6.23
2021,1,4,1,3.39,6.18
2021,1,4,2,3.44,6.29
2021,1,4,3,3.45,6.33
2021,1,4,4,3.39,6.12
2021,1,4,5,3.32,5.87
2021,1,4,6,3.09,5.61
2021,1,4,7,3.7,4.55
2021,1,4,8,3.02,3.66
2021,1,4,9,3.81,4.52
2021,1,4,10,3.46,4.07
2021,1,4,11,2.97,3.49
2021,1,4,12,2.63,3.08
2021,1,4,13,2.4,2.79
2021,1,4,14,2.32,2.62
2021,1,4,15,2.34,2.81
2021,1,4,16,2.5,4.62
2021,1,4,17,3.09,6.3
2021,1,4,18,3.31,6.92
2021,1,4,19,3.42,7.06
2021,1,4,20,3.25,6.73
2021,1,4,21,3.06,6.06
2021,1,4,22,2.94,5.36
2021,1,4,23,2.82,4.84
2021,1,5,0,2.72,4.51
2021,1,5,1,2.68,4.41
2021,1,5,2,2.62,4.28
2021,1,5,3,2.44,3.9
2021,1,5,4,2.13,3.33
2021,1,5,5,1.82,2.75
2021,1,5,6,1.49,2.25
2021,1,5,7,1.47,1.74
2021,1,5,8,2.11,2.72
2021,1,5,9,3.52,4.25
2021,1,5,10,4.01,4.64
2021,1,5,11,4.28,4.94
2021,1,5,12,4.91,5.66
2021,1,5,13,5.57,6.44
2021,1,5,14,6.09,7.13
2021,1,5,15,6.28,7.63
2021,1,5,16,4.81,7.26
2021,1,5,17,3.48,7.05
2021,1,5,18,3.78,7.47
2021,1,5,19,4.29,8.05
2021,1,5,20,5.1,8.79
2021,1,5,21,5.86,9.36
2021,1,5,22,5.54,9.13
2021,1,5,23,4.35,8.42
2021,1,6,0,4.21,8.54
2021,1,6,1,4.8,9
2021,1,6,2,5.14,9.3
2021,1,6,3,5.68,9.52
2021,1,6,4,5.45,9.07
2021,1,6,5,5.23,9.04
2021,1,6,6,5.43,9.11
2021,1,6,7,6.7,8.87
2021,1,6,8,8.55,10.86
2021,1,6,9,9.41,11.74
2021,1,6,10,9.56,11.87
2021,1,6,11,8.93,11.12
2021,1,6,12,7.65,9.63
2021,1,6,13,6.03,7.67
2021,1,6,14,5.49,7.04
2021,1,6,15,6.22,8.15
2021,1,6,16,6.59,9.59
2021,1,6,17,8.11,11.19
2021,1,6,18,7.56,10.5
2021,1,6,19,6.95,10.25
2021,1,6,20,7.48,10.89
2021,1,6,21,7.55,10.98
2021,1,6,22,6.39,9.69
2021,1,6,23,6.41,10.03
2021,1,7,0,5.26,8.55
2021,1,7,1,4.73,8.13
2021,1,7,2,4.81,8.05
2021,1,7,3,4.84,7.92
2021,1,7,4,4.84,7.79
2021,1,7,5,4.73,7.58
2021,1,7,6,4.94,7.22
2021,1,7,7,5.08,5.73
2021,1,7,8,4.59,5.32
2021,1,7,9,6.03,7.35
2021,1,7,10,6.73,7.9
2021,1,7,11,6.48,7.55
2021,1,7,12,6.1,7.1
2021,1,7,13,5.65,6.62
2021,1,7,14,4.99,5.9
2021,1,7,15,3.81,4.88
2021,1,7,16,2.33,3.8
2021,1,7,17,2.3,3.37
2021,1,7,18,2.19,3.17
2021,1,7,19,2.15,3.12
2021,1,7,20,2.22,3.26
2021,1,7,21,2.56,3.87
2021,1,7,22,2.94,4.56
2021,1,7,23,3.13,4.87
2021,1,8,0,3.27,5.17
