YEAR,MO,DY,HR,WS10M,WS50M
2014,12,31,19,2.93,5.38
2014,12,31,20,2.77,5.21
2014,12,31,21,2.32,4.4
2014,12,31,22,2.12,4.15
2014,12,31,23,2.45,4.1
2015,1,1,0,2.29,3.81
2015,1,1,1,2.29,3.77
2015,1,1,2,2.28,3.81
2015,1,1,3,2.39,4.07
2015,1,1,4,2.43,4.5
2015,1,1,5,2.4,4.4
2015,1,1,6,2.41,4.39
2015,1,1,7,2.28,4.2
2015,1,1,8,2.71,4.57
2015,1,1,9,3.76,6.49
2015,1,1,10,4.31,7.32
2015,1,1,11,4.45,7.48
2015,1,1,12,4.33,7.29
2015,1,1,13,3.86,6.6
2015,1,1,14,3.51,6.21
2015,1,1,15,3.24,5.99
2015,1,1,16,3.16,6.08
2015,1,1,17,3.23,6.35
2015,1,1,18,3.31,6.64
2015,1,1,19,3.48,7.01
2015,1,1,20,3.61,7.18
2015,1,1,21,3.78,7.35
2015,1,1,22,3.83,7.38
2015,1,1,23,3.75,7.21
2015,1,2,0,3.66,7.09
2015,1,2,1,3.58,6.87
2015,1,2,2,3.56,6.79
2015,1,2,3,3.48,6.62
2015,1,2,4,3.3,6.27
2015,1,2,5,3.19,6.08
2015,1,2,6,3.25,6.14
2015,1,2,7,3.37,6.28
2015,1,2,8,3.53,6.22
2015,1,2,9,4.24,7.59
2015,1,2,10,4.84,8.46
2015,1,2,11,4.86,8.38
2015,1,2,12,4.7,8.1
2015,1,2,13,4.75,8.25
2015,1,2,14,4.71,8.21
2015,1,2,15,4.66,8.15
2015,1,2,16,4.52,7.94
2015,1,2,17,4.38,7.76
2015,1,2,18,3.99,7.18
2015,1,2,19,3.36,6.15
2015,1,2,20,2.68,5.06
2015,1,2,21,2.31,4.59
2015,1,2,22,1.98,4.24
2015,1,2,23,1.64,4.06
2015,1,3,0,1.47,3.83
2015,1,3,1,1.44,3.6
2015,1,3,2,1.3,3.23
2015,1,3,3,1.12,2.77
2015,1,3,4,1.1,2.23
2015,1,3,5,1.04,1.63
2015,1,3,6,0.71,0.94
2015,1,3,7,0.84,1.46
2015,1,3,8,1.34,2.15
2015,1,3,9,1.56,2.32
2015,1,3,10,1.9,2.84
2015,1,3,11,2.2,3.43
2015,1,3,12,2.13,3.39
2015,1,3,13,2.3,3.73
2015,1,3,14,2.55,4.14
2015,1,3,15,2.53,4.11
2015,1,3,16,2.66,4.47
2015,1,3,17,3.36,5.42
2015,1,3,18,3.65,5.89
2015,1,3,19,3.75,6.19
2015,1,3,20,3.71,6.14
2015,1,3,21,3.54,5.98
2015,1,3,22,3.33,5.67
2015,1,3,23,2.7,4.88
2015,1,4,0,2.12,3.93
2015,1,4,1,2.09,3.54
2015,1,4,2,2.26,3.76
2015,1,4,3,1.82,4.24
2015,1,4,4,2.15,4.88
2015,1,4,5,2.07,4.51
2015,1,4,6,2.31,4.52
2015,1,4,7,2.22,4.83
2015,1,4,8,1.96,4.16
2015,1,4,9,2.48,4.78
2015,1,4,10,2.57,4.5
2015,1,4,11,2.4,3.95
2015,1,4,12,2.17,3.75
2015,1,4,13,2.49,4.61
2015,1,4,14,3.02,6.18
2015,1,4,15,3.06,6.63
2015,1,4,16,3.38,7.4
2015,1,4,17,3.04,6.67
2015,1,4,18,2.77,6.13
2015,1,4,19,2.5,5.7
2015,1,4,20,2.86,6.43
2015,1,4,21,3.95,8.06
2015,1,4,22,4.68,9
2015,1,4,23,5.26,9.59
2015,1,5,0,5.6,10.03
2015,1,5,1,5.89,10.55
2015,1,5,2,5.98,10.63
2015,1,5,3,5.96,10.57
2015,1,5,4,6.06,10.73
2015,1,5,5,6.49,11.41
2015,1,5,6,6.84,11.89
2015,1,5,7,6.78,11.77
2015,1,5,8,6.78,11.73
2015,1,5,9,6.88,11.74
2015,1,5,10,6.88,11.69
2015,1,5,11,6.78,11.48
2015,1,5,12,6.79,11.47
2015,1,5,13,6.73,11.39
2015,1,5,14,6.59,11.2
2015,1,5,15,6.48,11.03
2015,1,5,16,6.52,11.09
2015,1,5,17,6.52,11.02
2015,1,5,18,6.22,10.5
2015,1,5,19,5.7,9.65
2015,1,5,20,4.8,8.16
2015,1,5,21,3.93,6.76
2015,1,5,22,3.36,5.96
2015,1,5,23,2.96,5.22
2015,1,6,0,2.81,4.72
2015,1,6,1,2.79,4.75
2015,1,6,2,2.71,4.72
2015,1,6,3,2.33,4.05
2015,1,6,4,2.04,3.58
2015,1,6,5,1.91,3.13
2015,1,6,6,1.76,2.85
2015,1,6,7,1.65,2.63
2015,1,6,8,1.84,3.12
2015,1,6,9,2.13,3.51
2015,1,6,10,2.14,3.53
2015,1,6,11,2.11,3.46
2015,1,6,12,2.07,3.42
2015,1,6,13,2.01,3.31
2015,1,6,14,1.93,3.25
2015,1,6,15,1.78,3.13
2015,1,6,16,1.56,2.63
